Iteration	Posterior	Likelihood	Prior	beta_categories[1]	beta_categories[2]	beta_categories[3]	beta_categories[4]	beta_scale	br_lengths[1]	br_lengths[2]	br_lengths[3]	br_lengths[4]	br_lengths[5]	br_lengths[6]	br_lengths[7]	br_lengths[8]	br_lengths[9]	br_lengths[10]	br_lengths[11]	br_lengths[12]	br_lengths[13]	br_lengths[14]	br_lengths[15]	br_lengths[16]	br_lengths[17]	br_lengths[18]	br_lengths[19]	br_lengths[20]	br_lengths[21]	br_lengths[22]	br_lengths[23]	br_lengths[24]	br_lengths[25]	br_lengths[26]	br_lengths[27]	br_lengths[28]	br_lengths[29]	br_lengths[30]	br_lengths[31]	br_lengths[32]	br_lengths[33]	br_lengths[34]	br_lengths[35]	br_lengths[36]	br_lengths[37]	br_lengths[38]	br_lengths[39]	br_lengths[40]	br_lengths[41]	br_lengths[42]	br_lengths[43]	br_lengths[44]	br_lengths[45]	br_lengths[46]	br_lengths[47]	br_lengths[48]	br_lengths[49]	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_categories[1]	rate_categories[2]	rate_categories[3]	rate_categories[4]	rate_categories[5]	rate_categories[6]	rate_log_sd	rel_br_lengths[1]	rel_br_lengths[2]	rel_br_lengths[3]	rel_br_lengths[4]	rel_br_lengths[5]	rel_br_lengths[6]	rel_br_lengths[7]	rel_br_lengths[8]	rel_br_lengths[9]	rel_br_lengths[10]	rel_br_lengths[11]	rel_br_lengths[12]	rel_br_lengths[13]	rel_br_lengths[14]	rel_br_lengths[15]	rel_br_lengths[16]	rel_br_lengths[17]	rel_br_lengths[18]	rel_br_lengths[19]	rel_br_lengths[20]	rel_br_lengths[21]	rel_br_lengths[22]	rel_br_lengths[23]	rel_br_lengths[24]	rel_br_lengths[25]	rel_br_lengths[26]	rel_br_lengths[27]	rel_br_lengths[28]	rel_br_lengths[29]	rel_br_lengths[30]	rel_br_lengths[31]	rel_br_lengths[32]	rel_br_lengths[33]	rel_br_lengths[34]	rel_br_lengths[35]	rel_br_lengths[36]	rel_br_lengths[37]	rel_br_lengths[38]	rel_br_lengths[39]	rel_br_lengths[40]	rel_br_lengths[41]	rel_br_lengths[42]	rel_br_lengths[43]	rel_br_lengths[44]	rel_br_lengths[45]	rel_br_lengths[46]	rel_br_lengths[47]	rel_br_lengths[48]	rel_br_lengths[49]	tree_length
0	-249.8849	-317.411	67.52608	0.312515	0.449561	0.550439	0.687484	5.36753	0.0137479	0.0196879	0.00326441	0.00856413	0.0332425	0.0138638	0.00714763	0.0151155	0.0143817	0.0671384	0.0147384	0.00593311	0.0324888	0.00267642	0.0688734	0.0101801	0.0315584	0.00713135	0.00739904	0.0130928	0.0232384	0.0105343	0.00583039	0.0536834	0.0140458	0.0166989	0.0662762	0.00318462	0.0118164	0.00273193	0.213125	0.00455811	0.0217214	0.00413052	0.0147356	0.0019108	0.0134488	0.00703742	0.0783175	0.0139981	0.00478028	0.0252293	0.0379321	0.0373771	0.00830588	0.017696	0.0211046	0.0387914	0.0182181	0.14466	0.12051	0.063008	0.671822	0.220362	0.478241	0.79443	1.25876	2.091	4.53798	1.093628	0.011644	0.016675	0.00276485	0.00725353	0.0281553	0.0117422	0.0060538	0.0128024	0.0121809	0.056864	0.012483	0.00502515	0.0275169	0.00226684	0.0583334	0.00862221	0.0267289	0.00604001	0.00626674	0.0110892	0.0196822	0.00892221	0.00493815	0.045468	0.0118963	0.0141434	0.0561337	0.00269727	0.0100081	0.00231385	0.18051	0.00386057	0.0183973	0.00349841	0.0124806	0.00161838	0.0113906	0.00596046	0.0663323	0.0118559	0.00404874	0.0213684	0.0321273	0.0316571	0.00703481	0.0149879	0.0178749	0.032855	0.0154302	1.180684
36	-242.1346	-311.5836	69.449	0.19726	0.409915	0.590084	0.802741	1.797981	0.00242324	0.0252363	0.0163339	0.0360373	0.0802182	0.0213053	0.00446211	0.0253854	0.0104991	0.0367283	0.00720322	0.0176445	0.010542	0.00232467	0.0358446	0.054495	0.00116807	0.0236609	0.0224229	0.00556742	0.00892409	0.00613854	0.0309906	0.0171588	0.000704994	0.00152475	0.0723928	0.0127788	0.0209918	0.000120833	0.240525	0.00382552	0.0108374	0.00664763	0.00917709	0.00402126	0.0327484	0.00512725	0.0109492	0.0176384	0.00363905	0.0117159	0.0211923	0.0378053	0.000163372	0.00227557	0.017695	0.0142859	0.0123324	0.0500779	0.144241	0.0987197	0.706961	0.169942	0.421324	0.763637	1.30952	2.37347	5.88435	1.281492	0.00225663	0.0235012	0.0152109	0.0335596	0.0747029	0.0198404	0.00415531	0.0236401	0.00977723	0.034203	0.00670796	0.0164314	0.0098172	0.00216484	0.0333801	0.0507482	0.00108776	0.0220341	0.0208813	0.00518464	0.00831052	0.00571649	0.0288598	0.015979	0.000656523	0.00141991	0.0674154	0.0119002	0.0195485	0.000112525	0.223988	0.0035625	0.0100923	0.00619058	0.00854612	0.00374478	0.0304968	0.00477473	0.0101964	0.0164257	0.00338885	0.0109104	0.0197353	0.035206	0.00015214	0.00211912	0.0164784	0.0133036	0.0114845	1.073831
72	-250.43	-319.4976	69.06767	0.222326	0.419691	0.580309	0.777674	2.221477	0.0366107	0.0470933	0.00619365	0.0105881	0.00181993	0.0415169	0.00039227	0.041842	0.00578034	0.0103331	0.00872103	0.0169524	0.0058988	0.0153507	0.0740672	0.0532698	0.000615576	0.00910122	0.00252955	0.0247648	0.0104778	0.00149276	0.00263554	0.0416063	0.0030476	0.0164652	0.0656732	0.00953232	0.0118357	0.000345135	0.0593933	0.00838821	0.00291203	0.0199269	0.00898537	0.00480954	0.0219626	0.00891088	0.0250663	0.00532212	0.0418019	0.00211629	0.0149075	0.0546315	0.000321884	0.00343179	0.0296542	0.014589	0.0251039	0.593748	0.0846962	0.0919442	0.229611	0.127337	0.366003	0.730828	1.36831	2.73222	7.85315	1.490183	0.0394177	0.0507041	0.00666853	0.0113999	0.00195946	0.0447001	0.000422346	0.0450501	0.00622353	0.0111254	0.00938969	0.0182522	0.00635107	0.0165277	0.0797461	0.0573541	0.000662773	0.00979903	0.0027235	0.0266636	0.0112811	0.00160721	0.00283762	0.0447963	0.00328126	0.0177276	0.0707085	0.0102632	0.0127432	0.000371597	0.0639471	0.00903136	0.00313531	0.0214547	0.0096743	0.00517829	0.0236465	0.00959409	0.0269882	0.00573018	0.0450069	0.00227855	0.0160504	0.0588202	0.000346564	0.00369492	0.0319279	0.0157075	0.0270286	0.928788
108	-254.7852	-322.9417	68.1565	0.280199	0.43959	0.560409	0.719801	3.796331	0.0236839	0.0122795	0.00569411	0.016856	0.00355156	0.0279641	0.00049165	0.0161904	0.00694993	0.00462154	0.00208579	0.0282816	0.011278	0.00719093	0.0340237	0.000164998	0.00331235	0.00217448	0.000722474	0.00960473	0.00639272	0.00481677	0.0231225	0.0136827	0.00480654	0.00192717	0.0674786	0.00155991	0.00560558	0.0017989	0.0525565	0.0188032	0.00220453	0.017719	0.00871445	0.00639194	0.0042139	0.0183736	0.0276321	0.00246189	0.0426975	0.00211443	0.0125121	0.0180937	0.0201965	0.00488501	0.00852179	0.00992841	0.00704816	0.00575069	0.612826	0.282354	0.0990692	0.100744	0.326488	0.705238	1.41796	3.0629	9.92617	1.659569	0.0373927	0.0193872	0.00899001	0.0266127	0.0056073	0.0441505	0.00077623	0.0255619	0.0109727	0.00729661	0.00329309	0.0446517	0.017806	0.0113532	0.0537175	0.000260502	0.00522963	0.00343312	0.00114066	0.0151642	0.010093	0.00760485	0.0365064	0.0216027	0.00758869	0.00304266	0.106537	0.00246282	0.00885023	0.00284015	0.0829776	0.0296869	0.00348057	0.0279753	0.0137586	0.0100918	0.00665301	0.0290087	0.0436262	0.00388689	0.067412	0.00333832	0.0197545	0.0285668	0.0318867	0.00771257	0.0134544	0.0156752	0.0111278	0.633382
144	-252.0924	-322.8325	70.74009	0.000773977	0.154952	0.845048	0.999226	0.141961	0.0110111	0.0770751	0.00219671	0.00764432	0.0401013	0.0107826	0.00464568	0.0258901	0.0303953	0.00390728	0.0137568	0.00395821	0.0220668	0.0156495	0.0720684	0.00377359	0.00941678	0.0160088	0.00209084	0.0046709	0.0147358	0.0060492	0.0177769	0.00468065	0.00444959	0.0267328	0.0594964	0.00678291	0.00168716	0.00835558	0.0103216	0.0302219	0.00285126	0.0221289	0.0126958	0.00776446	0.00872654	0.0272378	0.113919	0.011424	0.0473838	0.0105129	0.00284922	0.025391	0.00536768	0.00279002	0.0189201	0.00680724	0.0153994	0.167363	0.105373	0.269003	0.458261	0.137455	0.379908	0.739379	1.35249	2.63222	7.27513	1.434902	0.0120926	0.0846449	0.00241246	0.0083951	0.0440398	0.0118416	0.00510196	0.0284329	0.0333805	0.00429103	0.015108	0.00434696	0.0242341	0.0171865	0.0791465	0.00414421	0.0103416	0.0175811	0.00229619	0.00512965	0.016183	0.00664332	0.0195229	0.00514036	0.0048866	0.0293584	0.0653398	0.00744909	0.00185286	0.00917621	0.0113353	0.0331901	0.0031313	0.0243023	0.0139427	0.00852704	0.00958361	0.0299129	0.125107	0.012546	0.0520375	0.0115454	0.00312905	0.0278848	0.00589486	0.00306404	0.0207783	0.00747581	0.0169119	0.9105693
180	-252.256	-322.6777	70.42171	0.0229379	0.270209	0.729792	0.977062	0.3451641	0.0147341	0.0604459	0.00119301	0.002586	0.00916704	0.00357311	0.00562243	0.0359363	0.00506368	0.0127351	0.00457295	0.000324074	0.00448167	0.00621152	0.0303771	0.0065323	0.00187469	0.0214172	0.00822658	0.022881	0.00341833	0.0107961	0.0125931	0.00127401	0.00120666	0.0137883	0.0257297	0.000396433	0.00394178	0.00532929	0.00341545	0.00509713	0.0219895	0.0168732	0.00936812	0.00298808	0.00470007	0.0065812	0.120278	0.0149296	0.0191405	0.00370558	0.00327205	0.0137769	0.00278862	0.00857296	0.00709631	0.00601578	0.00351182	0.138055	0.166045	0.177715	0.518185	0.0598674	0.253298	0.651545	1.53481	3.94791	16.7036	2.03589	0.0241333	0.0990057	0.00195406	0.00423567	0.0150149	0.00585248	0.0092091	0.0588608	0.00829391	0.020859	0.00749013	0.000530808	0.00734063	0.010174	0.0497552	0.0106994	0.00307059	0.0350797	0.0134745	0.0374773	0.00559896	0.0176832	0.0206264	0.00208673	0.00197641	0.0225841	0.0421433	0.000649325	0.00645633	0.00872896	0.00559423	0.0083487	0.036017	0.027637	0.0153443	0.00489423	0.00769834	0.0107795	0.197005	0.0244535	0.0313506	0.00606945	0.00535937	0.0225655	0.00456754	0.0140418	0.0116232	0.00985337	0.00575208	0.6105299
216	-252.9331	-321.4421	68.50899	0.244941	0.427847	0.572153	0.755059	2.712592	0.00127754	0.0372186	0.00425832	0.00372143	0.0232564	0.0193687	0.00091514	0.0141285	0.00349361	0.00758159	0.00601563	0.00668799	0.0215716	0.00380019	0.0129091	0.00823517	0.00329664	0.0145674	0.00260897	0.0253805	0.00546595	0.0034137	0.00613959	0.0138711	0.000304548	0.000641299	0.0284739	0.000517659	0.00421269	0.00469516	0.0212291	0.0134722	0.00915862	0.0165814	0.000302825	0.00434497	0.00548003	0.00460436	0.0789844	0.00438891	0.0228635	0.00194862	0.00747865	0.0135736	0.00231604	0.00205434	0.0115848	0.00354311	0.00253244	0.433262	0.164136	0.0646596	0.337943	0.0667628	0.26713	0.662442	1.50957	3.7435	14.9784	1.957065	0.0024832	0.0723435	0.00827709	0.00723352	0.0452046	0.0376478	0.0017788	0.0274622	0.00679069	0.0147367	0.0116928	0.0129998	0.0419297	0.0073866	0.0250921	0.0160071	0.00640784	0.0283153	0.00507118	0.0493332	0.0106244	0.00663536	0.0119338	0.026962	0.000591963	0.00124652	0.055346	0.0010062	0.0081884	0.0091262	0.041264	0.0261866	0.017802	0.0322301	0.000588614	0.00844551	0.0106518	0.00894971	0.153526	0.00853093	0.0444409	0.00378763	0.0145366	0.0263836	0.00450178	0.0039931	0.022518	0.00688691	0.00492242	0.5144707
252	-255.4922	-326.1118	70.61961	0.00228463	0.181486	0.818514	0.997715	0.1757351	0.014086	0.0586748	0.0396423	0.0190392	0.0247652	0.0158394	0.00273427	0.043617	0.0430973	0.00843772	0.0107028	0.00661943	0.0073508	0.00780855	0.0358979	0.0282694	0.00896519	0.00715426	0.0103232	0.000884311	0.0111677	0.00801669	0.00798413	0.0229856	0.00651021	0.00814099	0.0359725	0.00838175	0.0142974	0.00848326	0.00412126	0.0306658	0.00320777	0.0108033	0.00375187	0.000610478	0.00698806	0.00401136	0.120958	0.00830518	0.0342714	0.0158419	0.00182427	0.00202059	0.00483615	0.0241435	0.067304	0.00873812	0.0314411	0.610876	0.189978	0.196034	0.00311261	0.10522	0.333484	0.709918	1.40861	2.99864	9.50388	1.628135	0.0154844	0.0644995	0.0435777	0.0209292	0.0272237	0.0174118	0.00300571	0.047947	0.0473757	0.00927535	0.0117653	0.00727655	0.00808052	0.00858372	0.0394616	0.0310757	0.00985518	0.00786448	0.011348	0.000972097	0.0122764	0.00881252	0.00877673	0.0252675	0.00715649	0.00894916	0.0395436	0.00921382	0.0157167	0.0093254	0.00453038	0.03371	0.00352621	0.0118758	0.00412432	0.000671081	0.00768178	0.00440958	0.132965	0.00912965	0.0376736	0.0174146	0.00200536	0.00222117	0.00531624	0.0265402	0.0739854	0.00960557	0.0345623	0.9096933
288	-251.4801	-321.6754	70.19535	0.123868	0.374337	0.625663	0.876132	0.9907533	0.0165447	0.0513339	0.00305233	0.00354623	0.0131513	0.0118672	0.00323634	0.0162998	0.0179676	0.0233036	0.00158254	0.00463862	0.0236095	0.00414684	0.0334505	0.0154757	0.0157444	0.0269791	0.00635804	0.0192693	0.00215117	0.0280381	0.000196554	0.0251759	0.017581	0.0030064	0.0115659	0.016431	0.0142641	0.00599087	0.00156819	0.00312074	0.0104309	0.0918803	0.0201989	0.0470022	0.000295848	0.0157439	0.0416257	0.00894518	0.0111034	0.11479	0.00666541	0.057389	0.00491228	0.0221816	0.0158099	0.00423147	0.00791611	0.0178906	0.0614947	0.816623	0.103992	0.142827	0.387078	0.743705	1.34462	2.58346	7.00149	1.407181	0.0179488	0.0556906	0.00331138	0.00384719	0.0142675	0.0128743	0.00351101	0.0176831	0.0194925	0.0252814	0.00171684	0.0050323	0.0256133	0.00449878	0.0362894	0.0167891	0.0170807	0.0292688	0.00689765	0.0209046	0.00233374	0.0304177	0.000213236	0.0273126	0.0190731	0.00326156	0.0125475	0.0178255	0.0154747	0.00649932	0.00170128	0.0033856	0.0113162	0.0996782	0.0219131	0.0509912	0.000320956	0.0170801	0.0451584	0.00970435	0.0120458	0.124533	0.0072311	0.0622596	0.00532919	0.0240641	0.0171517	0.00459059	0.00858794	0.9217697
324	-259.8373	-327.3158	67.47858	0.279103	0.439241	0.560759	0.720897	3.754753	0.00782414	0.0492356	0.0214677	0.00377715	0.0345182	0.0194913	0.012122	0.0156106	0.0460306	0.00662087	0.00747921	0.0147371	0.0323061	0.00376589	0.0630911	0.0508158	0.00649151	0.0542155	0.0377047	0.0023572	0.0126596	0.0681711	0.0270907	0.0566443	0.00273558	0.00980798	0.0142312	0.0189044	0.0233542	0.00957788	0.00918354	0.00095406	0.0608068	0.188573	0.00486443	0.0874101	0.00346859	0.0339404	0.00458628	0.0260624	0.0169978	0.0968933	0.0126814	0.0662965	0.00456197	0.0337843	0.049297	0.000484026	0.0258868	0.327439	0.0790641	0.144466	0.449031	0.118604	0.353538	0.72297	1.38318	2.82855	8.43139	1.541555	0.00536058	0.0337329	0.0147082	0.00258785	0.0236496	0.0133541	0.00830518	0.0106953	0.0315371	0.00453618	0.00512425	0.0100969	0.0221339	0.00258013	0.0432257	0.0348155	0.00444755	0.0371448	0.0258327	0.001615	0.00867351	0.0467062	0.0185607	0.0388089	0.00187424	0.00671977	0.00975024	0.012952	0.0160007	0.00656212	0.00629194	0.000653658	0.0416607	0.129197	0.00333278	0.0598875	0.00237645	0.0232537	0.00314221	0.0178562	0.0116457	0.0663848	0.00868847	0.0454219	0.00312555	0.0231467	0.033775	0.000331622	0.0177359	1.459572
